attributes_preserved,attributes_missing,attributes_added,attributes_total_baseline,classes_preserved,classes_missing,classes_added,classes_total_baseline,enum_values_preserved,enum_values_missing,enum_values_added,enum_values_total_baseline,enums_preserved,enums_missing,enums_added,enums_total_baseline,packages_preserved,packages_missing,packages_added,packages_total_baseline,relationships_preserved,relationships_missing,relationships_added,relationships_total_baseline,Overall_Preservation_%,Total_Baseline_Elements,Total_Preserved_Elements,Total_Added_Elements,File,Address,CollectionPoint,CollectionRequest,Coordinates,NotificationService,NotificationTemplate,OpeningHours,PlatformManager,Product,RoleManager,RoleManager <<service>>,RoutePlan,SearchFilter,ServiceProvider,ServiceRequest,ServiceRequestDetails,TimeRange,TransportRequest,User,UserAccount,UserCredentials,UserProfile,ValidationResult,WasteJourney,WasteTracking,TotalMethodsInScope,Model,Run,Target_Class_Methods,Extra_Methods_Count,Unique_Method_Names,Redundancy,ParamRichness,ReturnTypeCompleteness,Percentage_Methods_With_UC,Percentage_Methods_With_Action,Percentage_Methods_With_Both,Percentage_Methods_Without
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,ChatGPT-4o_run1.json,0,2,2,0,4,0,0,0,2,1,0,1,1,1,3,0,0,2,0,4,6,2,0,2,0,33,ChatGPT-4o,1,33,0,33,1.0,0.45454545454545453,39.39393939393939,100.0,100.0,100.0,0.0
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,ChatGPT-4o_run10.json,0,1,0,0,2,0,0,0,2,1,0,0,1,4,3,0,0,0,0,5,6,2,0,1,0,28,ChatGPT-4o,10,28,0,28,1.0,1.1428571428571428,39.285714285714285,82.14285714285714,0.0,0.0,17.857142857142858
0,81,0,81,11,9,0,20,0,62,0,62,0,14,0,14,5,2,0,7,0,29,0,29,7.51,213,16,0,ChatGPT-4o_run2.json,0,1,3,0,0,0,0,0,2,1,0,0,1,0,1,0,0,3,0,8,6,2,0,2,0,30,ChatGPT-4o,2,30,0,29,1.0344827586206897,1.2,40.0,100.0,0.0,0.0,0.0
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,ChatGPT-4o_run3.json,0,2,2,0,4,0,0,0,2,1,0,0,1,1,3,0,0,2,0,5,5,2,0,1,0,31,ChatGPT-4o,3,31,0,30,1.0333333333333334,1.1290322580645162,16.129032258064516,100.0,100.0,100.0,0.0
0,81,0,81,12,8,0,20,0,62,0,62,0,14,0,14,0,7,0,7,0,29,0,29,5.63,213,12,0,ChatGPT-4o_run4.json,0,1,3,0,0,0,0,0,3,1,0,0,1,1,1,0,0,3,0,5,4,2,0,1,0,26,ChatGPT-4o,4,26,0,25,1.04,1.6538461538461537,57.69230769230769,100.0,0.0,0.0,0.0
0,81,0,81,4,16,4,20,8,54,10,62,3,11,3,14,0,7,0,7,0,29,8,29,7.04,213,15,25,ChatGPT-4o_run5.json,0,3,0,0,0,0,0,4,2,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,1,24,ChatGPT-4o,5,24,0,23,1.0434782608695652,1.75,8.333333333333334,100.0,100.0,100.0,0.0
0,81,0,81,12,8,0,20,0,62,0,62,0,14,0,14,6,1,0,7,0,29,0,29,8.45,213,18,0,ChatGPT-4o_run6.json,0,1,1,0,4,0,0,0,2,1,0,0,1,0,3,0,0,2,0,5,3,2,0,2,0,27,ChatGPT-4o,6,27,0,27,1.0,1.4444444444444444,48.148148148148145,88.88888888888889,0.0,0.0,11.11111111111111
0,81,0,81,11,9,0,20,0,62,0,62,0,14,0,14,5,2,0,7,0,29,0,29,7.51,213,16,0,ChatGPT-4o_run7.json,0,1,2,0,0,0,0,0,2,1,0,0,1,0,2,0,0,2,0,6,6,2,0,1,0,26,ChatGPT-4o,7,26,0,26,1.0,1.3846153846153846,42.30769230769231,100.0,0.0,0.0,0.0
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,ChatGPT-4o_run8.json,0,1,0,0,0,0,0,0,2,1,0,0,1,1,3,0,0,0,0,4,3,1,0,1,0,18,ChatGPT-4o,8,18,0,18,1.0,0.8888888888888888,16.666666666666668,88.88888888888889,0.0,0.0,11.11111111111111
0,81,0,81,12,8,0,20,0,62,0,62,0,14,0,14,0,7,0,7,0,29,0,29,5.63,213,12,0,ChatGPT-4o_run9.json,0,1,2,0,5,0,0,0,2,1,0,0,1,0,3,0,0,2,0,6,5,2,0,2,0,32,ChatGPT-4o,9,32,0,32,1.0,0.78125,37.5,90.625,0.0,0.0,9.375
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,ChatGPT-o3_run1.json,0,4,4,0,7,0,0,0,4,3,0,0,1,11,5,0,0,4,0,4,7,4,0,2,0,60,ChatGPT-o3,1,60,0,56,1.0714285714285714,1.05,36.666666666666664,100.0,100.0,100.0,0.0
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,ChatGPT-o3_run10.json,0,4,2,0,6,0,0,0,5,3,0,0,1,9,3,0,0,2,0,3,5,3,0,1,0,47,ChatGPT-o3,10,47,0,45,1.0444444444444445,1.0638297872340425,36.170212765957444,0.0,0.0,0.0,100.0
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,ChatGPT-o3_run2.json,0,2,0,0,7,0,0,0,3,2,0,0,1,3,0,0,0,0,0,0,3,3,0,1,0,25,ChatGPT-o3,2,25,0,24,1.0416666666666667,1.0,64.0,0.0,0.0,0.0,100.0
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,ChatGPT-o3_run3.json,0,2,3,0,5,0,0,0,3,3,0,0,1,1,5,0,0,3,0,0,9,3,0,3,0,41,ChatGPT-o3,3,41,0,37,1.1081081081081081,1.3902439024390243,29.26829268292683,100.0,100.0,100.0,0.0
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,ChatGPT-o3_run4.json,0,2,2,0,4,0,0,0,0,1,0,0,1,3,2,0,0,2,0,0,4,3,0,1,0,25,ChatGPT-o3,4,25,0,22,1.1363636363636365,0.92,48.0,100.0,100.0,100.0,0.0
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,ChatGPT-o3_run5.json,0,2,0,0,6,0,0,0,3,2,0,0,1,4,5,0,0,0,0,4,3,4,0,2,0,36,ChatGPT-o3,5,36,0,32,1.125,1.1111111111111112,30.555555555555557,100.0,100.0,100.0,0.0
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,ChatGPT-o3_run6.json,0,2,0,0,7,0,0,0,4,2,0,0,1,4,8,0,0,1,0,3,5,4,0,1,0,42,ChatGPT-o3,6,42,0,42,1.0,0.8333333333333334,33.333333333333336,100.0,100.0,100.0,0.0
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,ChatGPT-o3_run7.json,0,3,1,1,6,0,0,0,3,3,0,0,1,4,6,0,0,2,0,6,5,3,0,2,0,46,ChatGPT-o3,7,46,0,43,1.069767441860465,1.0,41.30434782608695,100.0,100.0,100.0,0.0
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,ChatGPT-o3_run8.json,0,4,4,0,8,0,0,0,3,1,0,0,1,5,2,0,0,4,0,5,5,4,0,3,0,49,ChatGPT-o3,8,49,0,42,1.1666666666666667,1.0204081632653061,42.857142857142854,95.91836734693878,95.91836734693878,95.91836734693878,4.081632653061225
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,ChatGPT-o3_run9.json,0,6,0,0,6,0,0,0,6,3,0,1,1,13,6,0,0,0,0,7,5,4,0,3,0,61,ChatGPT-o3,9,61,0,57,1.0701754385964912,1.0163934426229508,44.26229508196721,100.0,100.0,100.0,0.0
81,0,1,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,100.0,213,213,3,Claude3.7_run1.json,2,5,1,1,5,2,1,0,6,3,0,3,4,1,7,1,2,2,0,5,9,3,2,7,0,72,Claude3.7,1,72,0,72,1.0,0.9027777777777778,54.166666666666664,83.33333333333333,83.33333333333333,83.33333333333333,16.666666666666668
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,Claude3.7_run10.json,2,5,1,0,5,1,1,0,6,2,0,3,4,3,8,0,2,1,0,6,10,4,0,6,0,70,Claude3.7,10,70,0,66,1.0606060606060606,0.9,48.57142857142857,100.0,100.0,100.0,0.0
81,0,1,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,100.0,213,213,3,Claude3.7_run2.json,2,7,1,1,5,1,1,0,6,2,0,2,5,2,6,1,2,1,0,5,8,4,2,7,0,71,Claude3.7,2,71,0,71,1.0,0.8450704225352113,52.11267605633803,74.64788732394366,74.64788732394366,74.64788732394366,25.35211267605634
81,0,1,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,100.0,213,213,3,Claude3.7_run3.json,2,5,2,1,6,2,1,0,9,3,0,3,5,3,7,0,2,2,0,5,10,5,2,7,0,82,Claude3.7,3,82,0,82,1.0,0.8536585365853658,45.1219512195122,100.0,100.0,100.0,0.0
81,0,1,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,100.0,213,213,3,Claude3.7_run4.json,2,5,2,0,6,1,0,0,6,2,0,2,4,2,6,0,2,1,0,5,6,5,0,6,0,63,Claude3.7,4,63,0,63,1.0,0.7936507936507936,96.82539682539682,85.71428571428571,85.71428571428571,85.71428571428571,14.285714285714286
81,0,1,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,100.0,213,213,3,Claude3.7_run5.json,2,6,2,1,6,1,1,0,7,3,0,3,5,3,8,2,2,2,0,9,8,5,1,6,0,83,Claude3.7,5,83,0,83,1.0,0.891566265060241,53.01204819277108,100.0,100.0,100.0,0.0
81,0,1,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,100.0,213,213,3,Claude3.7_run6.json,2,6,1,1,5,2,1,0,7,3,0,3,5,1,7,2,2,1,0,5,8,4,2,7,0,75,Claude3.7,6,75,0,71,1.056338028169014,1.0133333333333334,50.666666666666664,100.0,100.0,100.0,0.0
81,0,1,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,100.0,213,213,3,Claude3.7_run7.json,3,4,1,2,2,1,1,0,6,2,0,3,4,1,7,1,2,1,0,7,7,4,2,7,0,68,Claude3.7,7,68,0,64,1.0625,0.5441176470588235,57.35294117647059,94.11764705882354,94.11764705882354,94.11764705882354,5.882352941176471
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,Claude3.7_run8.json,3,6,2,1,6,2,1,0,8,2,0,3,6,2,8,0,2,1,0,6,11,5,2,8,0,85,Claude3.7,8,85,0,83,1.0240963855421688,0.8117647058823529,41.1764705882353,83.52941176470588,83.52941176470588,83.52941176470588,16.470588235294116
81,0,1,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,100.0,213,213,3,Claude3.7_run9.json,2,5,1,1,6,2,1,0,6,2,0,2,4,1,6,1,2,1,0,5,7,3,2,5,0,65,Claude3.7,9,65,0,63,1.0317460317460319,1.0769230769230769,55.38461538461539,75.38461538461539,75.38461538461539,75.38461538461539,24.615384615384617
0,81,0,81,19,1,0,20,0,62,7,62,7,7,0,14,7,0,0,7,0,29,0,29,15.49,213,33,7,DeepSeek(R1)_run1.json,1,3,1,1,3,0,1,0,3,2,0,1,2,3,0,0,1,1,0,5,5,3,3,3,0,42,DeepSeek(R1),1,42,0,42,1.0,0.6666666666666666,40.476190476190474,66.66666666666667,0.0,0.0,33.333333333333336
81,0,1,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,100.0,213,213,3,DeepSeek(R1)_run10.json,1,2,1,0,1,1,1,0,3,1,0,1,1,2,2,1,1,1,0,3,4,3,0,2,0,32,DeepSeek(R1),10,32,0,32,1.0,0.53125,40.625,68.75,68.75,68.75,31.25
81,0,1,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,100.0,213,213,3,DeepSeek(R1)_run2.json,1,2,1,0,3,0,1,0,4,2,0,1,1,3,4,0,0,1,0,3,6,3,0,3,0,39,DeepSeek(R1),2,39,0,39,1.0,0.4358974358974359,51.282051282051285,0.0,0.0,0.0,100.0
81,0,1,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,100.0,213,213,3,DeepSeek(R1)_run3.json,1,2,1,0,2,0,1,0,3,1,0,1,1,1,4,0,0,1,0,5,4,3,0,3,0,34,DeepSeek(R1),3,34,0,34,1.0,0.6176470588235294,47.05882352941177,100.0,100.0,100.0,0.0
81,0,1,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,100.0,213,213,3,DeepSeek(R1)_run4.json,1,2,1,0,3,0,0,0,3,1,0,1,1,2,2,0,0,1,0,4,6,4,0,2,0,34,DeepSeek(R1),4,34,0,34,1.0,0.20588235294117646,38.23529411764706,100.0,100.0,100.0,0.0
81,0,1,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,100.0,213,213,3,DeepSeek(R1)_run5.json,0,2,1,0,2,0,0,0,2,2,0,1,1,2,2,0,0,1,0,3,3,2,2,2,0,28,DeepSeek(R1),5,28,0,28,1.0,0.6785714285714286,39.285714285714285,0.0,0.0,0.0,100.0
81,0,1,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,100.0,213,213,3,DeepSeek(R1)_run6.json,0,0,1,0,0,0,0,0,3,1,0,0,0,1,2,0,0,0,0,2,1,1,0,2,0,14,DeepSeek(R1),6,14,0,13,1.0769230769230769,0.7142857142857143,57.142857142857146,100.0,100.0,100.0,0.0
81,0,1,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,100.0,213,213,3,DeepSeek(R1)_run7.json,1,1,1,0,1,0,0,0,2,1,0,1,1,1,2,0,0,1,0,2,5,3,0,2,0,25,DeepSeek(R1),7,25,0,25,1.0,0.48,64.0,96.0,96.0,96.0,4.0
81,0,1,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,100.0,213,213,3,DeepSeek(R1)_run8.json,1,1,1,0,2,0,1,0,2,1,0,1,1,1,3,0,1,1,0,3,5,3,0,2,0,30,DeepSeek(R1),8,30,0,27,1.1111111111111112,0.5,46.666666666666664,93.33333333333333,93.33333333333333,93.33333333333333,6.666666666666667
81,0,1,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,100.0,213,213,3,DeepSeek(R1)_run9.json,1,2,1,0,3,0,1,0,3,1,0,1,1,1,4,0,0,1,0,5,7,4,0,2,0,38,DeepSeek(R1),9,38,0,38,1.0,0.15789473684210525,39.473684210526315,0.0,0.0,0.0,100.0
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,Gemini-2.5-Pro-Preview-05-06_run1.json,3,5,2,0,11,0,1,0,7,1,0,3,1,3,7,0,1,2,0,7,10,9,0,6,0,79,Gemini-2.5-Pro-Preview-05-06,1,79,0,76,1.0394736842105263,1.240506329113924,18.9873417721519,68.35443037974683,68.35443037974683,68.35443037974683,31.645569620253166
